id,tipo,anio,mesnom,mes,valor
1,Importaciones,2015,ENERO,1,2779011000
1,Importaciones,2015,FEBRERO,2,2698690000
1,Importaciones,2015,MARZO,3,3267163000
1,Importaciones,2015,ABRIL,4,3128924000
1,Importaciones,2015,MAYO,5,3128143000
1,Importaciones,2015,JUNIO,6,3214827000
1,Importaciones,2015,JULIO,7,2951755000
1,Importaciones,2015,AGOSTO,8,3173415000
1,Importaciones,2015,SEPTIEMBRE,9,2978982000
1,Importaciones,2015,OCTUBRE,10,3463675000
1,Importaciones,2015,NOVIEMBRE,11,3391837000
1,Importaciones,2015,DICIEMBRE,12,3090202000
1,Importaciones,2016,ENERO,1,2735555000
1,Importaciones,2016,FEBRERO,2,2845159000
1,Importaciones,2016,MARZO,3,2973416000
1,Importaciones,2016,ABRIL,4,3447402000
1,Importaciones,2016,MAYO,5,3164924000
1,Importaciones,2016,JUNIO,6,3057168000
1,Importaciones,2016,JULIO,7,2805908000
1,Importaciones,2016,AGOSTO,8,3280953000
1,Importaciones,2016,SEPTIEMBRE,9,3148033000
1,Importaciones,2016,OCTUBRE,10,3240796000
1,Importaciones,2016,NOVIEMBRE,11,3418126000
1,Importaciones,2016,DICIEMBRE,12,3126745000
1,Importaciones,2017,ENERO,1,2876496000
1,Importaciones,2017,FEBRERO,2,3052918000
1,Importaciones,2017,MARZO,3,3787976000
1,Importaciones,2017,ABRIL,4,2945204000
1,Importaciones,2017,MAYO,5,3859610000
1,Importaciones,2017,JUNIO,6,3645514000
1,Importaciones,2017,JULIO,7,3205400000
1,Importaciones,2017,AGOSTO,8,3581632000
1,Importaciones,2017,SEPTIEMBRE,9,3438104000
1,Importaciones,2017,OCTUBRE,10,3808936000
1,Importaciones,2017,NOVIEMBRE,11,3765944000
1,Importaciones,2017,DICIEMBRE,12,3676320000
1,Importaciones,2018,ENERO,1,3384754000
1,Importaciones,2018,FEBRERO,2,3079623000
1,Importaciones,2018,MARZO,3,3946467000
1,Importaciones,2018,ABRIL,4,3393138000
1,Importaciones,2018,MAYO,5,3796301000
1,Importaciones,2018,JUNIO,6,3549316000
1,Importaciones,2018,JULIO,7,3409730000
1,Importaciones,2018,AGOSTO,8,3983033000
1,Importaciones,2018,SEPTIEMBRE,9,3441800000
1,Importaciones,2018,OCTUBRE,10,4008445000
1,Importaciones,2018,NOVIEMBRE,11,3896679000
1,Importaciones,2018,DICIEMBRE,12,3168365000
1,Importaciones,2019,ENERO,1,3289183000
1,Importaciones,2019,FEBRERO,2,3397838000
1,Importaciones,2019,MARZO,3,3504098000
1,Importaciones,2019,ABRIL,4,3421333000
1,Importaciones,2019,MAYO,5,3871900000
1,Importaciones,2019,JUNIO,6,3428891000
1,Importaciones,2019,JULIO,7,3923867000
1,Importaciones,2019,AGOSTO,8,3808406000
1,Importaciones,2019,SEPTIEMBRE,9,3466231000
1,Importaciones,2019,OCTUBRE,10,3861237000
1,Importaciones,2019,NOVIEMBRE,11,3528213000
1,Importaciones,2019,DICIEMBRE,12,3184006000
1,Importaciones,2020,ENERO,1,3091970000
1,Importaciones,2020,FEBRERO,2,3119451000
1,Importaciones,2020,MARZO,3,3209810000
1,Importaciones,2020,ABRIL,4,1544529000
1,Importaciones,2020,MAYO,5,998123000
1,Importaciones,2020,JUNIO,6,1843737000
1,Importaciones,2020,JULIO,7,2285679000
1,Importaciones,2020,AGOSTO,8,2667884000
1,Importaciones,2020,SEPTIEMBRE,9,3215870000
1,Importaciones,2020,OCTUBRE,10,3464522000
1,Importaciones,2020,NOVIEMBRE,11,3428915000
1,Importaciones,2020,DICIEMBRE,12,3197164000
1,Importaciones,2021,ENERO,1,3141800000
1,Importaciones,2021,FEBRERO,2,2806035000
1,Importaciones,2021,MARZO,3,3587691000
1,Importaciones,2021,ABRIL,4,3024047000
1,Importaciones,2021,MAYO,5,3301521000
1,Importaciones,2021,JUNIO,6,3243158000
1,Importaciones,2021,JULIO,7,3321172000
1,Importaciones,2021,AGOSTO,8,3247655000
1,Importaciones,2021,SEPTIEMBRE,9,3125314000
1,Importaciones,2021,OCTUBRE,10,3295220000
1,Importaciones,2021,NOVIEMBRE,11,3510260000
1,Importaciones,2021,DICIEMBRE,12,3576162000
1,Importaciones,2022,ENERO,1,2696877000
1,Importaciones,2022,FEBRERO,2,3737612000
1,Importaciones,2022,MARZO,3,4055261000
1,Importaciones,2022,ABRIL,4,3773823000
1,Importaciones,2022,MAYO,5,4179626000
1,Importaciones,2022,JUNIO,6,4191455000
1,Importaciones,2022,JULIO,7,3711577000
1,Importaciones,2022,AGOSTO,8,4357620000
1,Importaciones,2022,SEPTIEMBRE,9,4431628000
1,Importaciones,2022,OCTUBRE,10,4385526000
2,Exportaciones,1993,ENERO,1,373092000
2,Exportaciones,1993,FEBRERO,2,539540000
2,Exportaciones,1993,MARZO,3,496922000
2,Exportaciones,1993,ABRIL,4,578736000
2,Exportaciones,1993,MAYO,5,578004000
2,Exportaciones,1993,JUNIO,6,733936000
2,Exportaciones,1993,JULIO,7,532850000
2,Exportaciones,1993,AGOSTO,8,490368000
2,Exportaciones,1993,SEPTIEMBRE,9,670754000
2,Exportaciones,1993,OCTUBRE,10,725918000
2,Exportaciones,1993,NOVIEMBRE,11,677894000
2,Exportaciones,1993,DICIEMBRE,12,652776000
2,Exportaciones,1994,ENERO,1,582403000
2,Exportaciones,1994,FEBRERO,2,560028000
2,Exportaciones,1994,MARZO,3,745728000
2,Exportaciones,1994,ABRIL,4,653468000
2,Exportaciones,1994,MAYO,5,739960000
2,Exportaciones,1994,JUNIO,6,757666000
2,Exportaciones,1994,JULIO,7,639203000
2,Exportaciones,1994,AGOSTO,8,675635000
2,Exportaciones,1994,SEPTIEMBRE,9,696340000
2,Exportaciones,1994,OCTUBRE,10,656191000
2,Exportaciones,1994,NOVIEMBRE,11,971282000
2,Exportaciones,1994,DICIEMBRE,12,730029000
2,Exportaciones,1995,ENERO,1,993382000
2,Exportaciones,1995,FEBRERO,2,901185000
2,Exportaciones,1995,MARZO,3,975263000
2,Exportaciones,1995,ABRIL,4,822908000
2,Exportaciones,1995,MAYO,5,1083387000
2,Exportaciones,1995,JUNIO,6,1010298000
2,Exportaciones,1995,JULIO,7,882611000
2,Exportaciones,1995,AGOSTO,8,938414000
2,Exportaciones,1995,SEPTIEMBRE,9,1077443000
2,Exportaciones,1995,OCTUBRE,10,1268698000
2,Exportaciones,1995,NOVIEMBRE,11,1151829000
2,Exportaciones,1995,DICIEMBRE,12,1117324000
2,Exportaciones,1996,ENERO,1,1357432000
2,Exportaciones,1996,FEBRERO,2,1293958000
2,Exportaciones,1996,MARZO,3,1339034000
2,Exportaciones,1996,ABRIL,4,1333698000
2,Exportaciones,1996,MAYO,5,1405070000
2,Exportaciones,1996,JUNIO,6,1317220000
2,Exportaciones,1996,JULIO,7,1358425000
2,Exportaciones,1996,AGOSTO,8,1310608000
2,Exportaciones,1996,SEPTIEMBRE,9,1422221000
2,Exportaciones,1996,OCTUBRE,10,1532323000
2,Exportaciones,1996,NOVIEMBRE,11,1385082000
2,Exportaciones,1996,DICIEMBRE,12,1495455000
2,Exportaciones,1997,ENERO,1,1433382000
2,Exportaciones,1997,FEBRERO,2,1180937000
2,Exportaciones,1997,MARZO,3,1445676000
2,Exportaciones,1997,ABRIL,4,1336626000
2,Exportaciones,1997,MAYO,5,1403827000
2,Exportaciones,1997,JUNIO,6,1527965000
2,Exportaciones,1997,JULIO,7,1479969000
2,Exportaciones,1997,AGOSTO,8,1307804000
2,Exportaciones,1997,SEPTIEMBRE,9,1445122000
2,Exportaciones,1997,OCTUBRE,10,1870936000
2,Exportaciones,1997,NOVIEMBRE,11,1596176000
2,Exportaciones,1997,DICIEMBRE,12,1786635000
2,Exportaciones,1998,ENERO,1,1479164000
2,Exportaciones,1998,FEBRERO,2,1388190000
2,Exportaciones,1998,MARZO,3,1631216000
2,Exportaciones,1998,ABRIL,4,1757632000
2,Exportaciones,1998,MAYO,5,1627056000
2,Exportaciones,1998,JUNIO,6,1759994000
2,Exportaciones,1998,JULIO,7,1165921000
2,Exportaciones,1998,AGOSTO,8,1345156000
